canonical,BinanceUS,Kraken,KuCoin,LBank,OKEx,FTX
BTCUSD,BTCUSD,XXBTZUSD,,,,BTC/USD
ETHUSD,ETHUSD,XETHZUSD,,,,ETH/USD
ADAUSD,ADAUSD,ADAUSD,,,,
LTCUSD,LTCUSD,XLTCZUSD,,,,LTC/USD
LINKUSD,LINKUSD,LINKUSD,,,,LINK/USD
XRPUSD,XRPUSD,XXRPZUSD,,,,XRP/USD
DOGEUSD,DOGEUSD,XDGUSD,,,,DOGE/USD
EOSUSD,EOSUSD,EOSUSD,,,,
XLMUSD,XLMUSD,XXLMZUSD,,,,
BCHUSD,BCHUSD,BCHUSD,,,,BCH/USD
BTCUSDT,BTCUSDT,XBTUSDT,BTC-USDT,btc_usdt,BTC-USDT,BTC/USDT
ETHUSDT,ETHUSDT,ETHUSDT,ETH-USDT,eth_usdt,ETH-USDT,ETH/USDT
ADAUSDT,ADAUSDT,ADAUSDT,ADA-USDT,ada_usdt,ADA-USDT,
LTCUSDT,LTCUSDT,LTCUSDT,LTC-USDT,ltc_usdt,LTC-USDT,LTC/USDT
LINKUSDT,,LINKUSDT,LINK-USDT,link_usdt,LINK-USDT,LINK/USDT
XRPUSDT,XRPUSDT,XRPUSDT,XRP-USDT,xrp_usdt,XRP-USDT,XRP/USDT
DOGEUSDT,DOGEUSDT,XDGUSDT,DOGE-USDT,doge_usdt,DOGE-USDT,DOGE/USDT
EOSUSDT,,EOSUSDT,EOS-USDT,eos_usdt,EOS-USDT,
XLMUSDT,XLMUSDT,,XLM-USDT,,XLM-USDT,
BCHUSDT,BCHUSDT,BCHUSDT,BCH-USDT,bch_usdt,BCH-USDT,BCH/USDT
BTCUSDC,BTCUSDC,XBTUSDC,BTC-USDC,,BTC-USDC,
ETHUSDC,,ETHUSDC,ETH-USDC,,ETH-USDC,
ADAUSDC,,,ADA-USDC,,,
LTCUSDC,,,LTC-USDC,,LTC-USDC,
LINKUSDC,,,LINK-USDC,,,
XRPUSDC,,,XRP-USDC,,XRP-USDC,
DOGEUSDC,,,DOGE-USDC,,,
EOSUSDC,,,EOS-USDC,,EOS-USDC,
XLMUSDC,,,,,,
BCHUSDC,,,BCH-USDC,,BCH-USDC,
